Simulation_number,Random Seed,RTT,Global Sync Value,Average Throughput(Mbps),Flow Completion Time(s),Averate Data Sent(Mb),Effective Delay(ms),Jitter in RTT(ms),Qeueing Delay(ms)
0,69713,200,0.16914248739953683,0.8233755340296114,234.59537290083335,192.61028772989908,199.23672183081325,0.0037633944263990127,0.049921830813240704
1,56629,200,0.17143588693158543,0.822541782156522,234.7579889325,192.60583063761393,199.53750149528884,0.0036762976449990284,0.04915149528881606
2,86799,200,0.16346075224856907,0.8219254736213112,234.8763198783333,192.51317774454753,200.19005781684385,0.0037352094319470027,0.05030781684382666
3,42653,200,0.17092864923747278,0.82056028622593,235.116304575,192.48510564168294,199.86922519607842,0.0036910963024127065,0.04977519607843137
4,82842,200,0.1692680595384405,0.8238127314625032,234.44562043333335,192.548659769694,199.75394383722514,0.003581343460991645,0.0480105038918476
5,72958,200,0.17157284203343567,0.8231221149071462,234.65870096333336,192.5847412109375,200.07554040259296,0.003615574960474976,0.048673735926305015
6,23256,200,0.1678185524974516,0.823157104687032,234.69434044999997,192.57800114949544,200.421134254842,0.0036975151245604394,0.04926758817533129
7,14590,200,0.17247815997815996,0.8240381854881619,234.4985443525,192.62082290649414,199.4987910483211,0.0036882991346915295,0.04864104832104832
8,98472,200,0.17263071895424836,0.8209043600665529,235.1508270583333,192.59290364583333,199.3417412091503,0.0036841301497363877,0.04980787581699347
9,8288,200,0.1687077616219537,0.8245284517010159,234.42604672500002,192.6232442220052,200.6468033224111,0.0036501712617835707,0.04898665574441941
10,42653,200,0.17092864923747278,0.82056028622593,235.116304575,192.48510564168294,199.86922519607842,0.0036910963024127065,0.04977519607843137
11,42653,205,0.16949891067538125,0.8215112635568396,235.05570645833333,192.58489939371745,204.86879550653595,0.0036746253886324664,0.049345506535947714
12,42653,210,0.16490332244008712,0.8238591756667595,234.52973182500003,192.60911204020184,209.86736812091502,0.003585056063135874,0.047918120915032676
13,42653,215,0.1617749183006536,0.8245279348894653,234.32892457500003,192.61126607259115,214.86661996732025,0.003545269461437011,0.04716996732026144
14,42653,220,0.16297998366013072,0.824257644463162,234.53343415833334,192.7040896097819,219.86623986928103,0.003485368051617065,0.04678986928104575
15,42653,225,0.15433006535947713,0.8231091828054914,234.89643607500003,192.65178960164388,224.86593428104575,0.0035247615529146563,0.046484281045751634
16,42653,230,0.154490059912854,0.8215161144201691,235.19909774166666,192.6911178588867,229.86626321895423,0.0035030491598999377,0.04681321895424837
17,42653,235,0.15682189542483663,0.8238594459867287,234.78618940833334,192.82234420776368,234.86509521241828,0.003433035520543274,0.045645212418300656
